StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,EduTech,StressLevel,FinalGrade
17,94,0,1,0,1,1,19,3,3,1,74,0,2,0
17,94,2,1,1,1,1,19,3,3,1,74,0,2,0
23,98,1,1,1,1,1,27,2,5,0,65,0,2,2
23,98,1,1,1,1,1,27,1,4,1,100,0,2,0
23,98,1,1,1,1,1,27,2,5,0,65,0,2,2
23,98,1,1,1,1,1,27,1,4,1,100,0,2,0
23,98,0,0,1,1,1,27,2,5,0,65,0,2,2
23,98,0,0,1,1,1,27,1,4,1,100,0,2,0
23,98,2,0,1,1,1,27,2,5,0,65,0,2,2
23,98,2,0,1,1,1,27,1,4,1,100,0,2,0
23,98,2,1,0,1,1,27,2,5,0,65,0,2,2
23,98,2,1,0,1,1,27,1,4,1,100,0,2,0
17,80,2,0,1,0,1,18,1,13,1,68,0,2,1
17,80,2,0,1,0,1,24,3,11,1,64,1,0,2
17,80,2,0,1,0,1,23,0,7,1,68,1,1,0
17,80,2,0,1,0,1,27,0,12,0,64,1,0,0
17,80,2,0,1,0,1,29,1,0,1,73,1,0,1
17,80,1,0,1,1,1,18,1,13,1,68,0,2,1
17,80,1,0,1,1,1,24,3,11,1,64,1,0,2
17,80,1,0,1,1,1,23,0,7,1,68,1,1,0
17,80,1,0,1,1,1,27,0,12,0,64,1,0,0
17,80,1,0,1,1,1,29,1,0,1,73,1,0,1
17,80,2,0,1,1,1,18,1,13,1,68,0,2,1
17,80,2,0,1,1,1,24,3,11,1,64,1,0,2
17,80,2,0,1,1,1,23,0,7,1,68,1,1,0
17,80,2,0,1,1,1,27,0,12,0,64,1,0,0
17,80,2,0,1,1,1,29,1,0,1,73,1,0,1
17,97,2,1,0,1,1,27,1,9,0,64,1,1,0
17,97,2,1,0,1,1,25,2,20,1,70,1,1,1
17,97,1,0,1,1,1,27,1,9,0,64,1,1,0
17,97,1,0,1,1,1,25,2,20,1,70,1,1,1
17,97,2,0,2,1,1,27,1,9,0,64,1,1,0
17,97,2,0,2,1,1,25,2,20,1,70,1,1,1
17,97,2,1,1,0,1,27,1,9,0,64,1,1,0
17,97,2,1,1,0,1,25,2,20,1,70,1,1,1
17,97,2,0,1,1,1,27,1,9,0,64,1,1,0
17,97,2,0,1,1,1,25,2,20,1,70,1,1,1
17,97,2,1,0,1,1,27,1,9,0,64,1,1,0
17,97,2,1,0,1,1,25,2,20,1,70,1,1,1
17,97,0,1,1,1,1,27,1,9,0,64,1,1,0
17,97,0,1,1,1,1,25,2,20,1,70,1,1,1
17,97,1,1,1,1,1,27,1,9,0,64,1,1,0
17,97,1,1,1,1,1,25,2,20,1,70,1,1,1
17,97,0,0,2,0,1,27,1,9,0,64,1,1,0
17,97,0,0,2,0,1,25,2,20,1,70,1,1,1
17,97,1,1,0,1,1,27,1,9,0,64,1,1,0
17,97,1,1,0,1,1,25,2,20,1,70,1,1,1
21,83,1,1,0,1,1,27,2,1,0,66,0,1,0
21,83,1,1,0,1,1,27,0,7,1,77,1,1,0
21,83,1,1,0,1,1,27,2,1,0,66,0,1,0
21,83,1,1,0,1,1,27,0,7,1,77,1,1,0
21,83,1,1,2,1,1,27,2,1,0,66,0,1,0
21,83,1,1,2,1,1,27,0,7,1,77,1,1,0
21,83,0,0,0,1,1,27,2,1,0,66,0,1,0
21,83,0,0,0,1,1,27,0,7,1,77,1,1,0
21,83,0,1,0,1,1,27,2,1,0,66,0,1,0
21,83,0,1,0,1,1,27,0,7,1,77,1,1,0
21,83,2,1,2,1,1,27,2,1,0,66,0,1,0
21,83,2,1,2,1,1,27,0,7,1,77,1,1,0
21,83,2,0,1,1,1,27,2,1,0,66,0,1,0
21,83,2,0,1,1,1,27,0,7,1,77,1,1,0
9,82,1,1,1,1,1,18,3,17,0,55,1,2,3
9,82,1,1,1,1,1,25,3,13,0,73,1,2,3
10,78,2,1,1,1,1,27,2,5,0,71,1,2,2
10,78,2,1,1,1,1,20,3,17,0,85,1,2,1
17,68,1,0,1,1,0,19,3,0,1,75,1,1,3
17,68,1,0,1,1,0,24,2,4,1,87,1,2,2
17,68,1,0,1,1,0,20,3,19,1,88,1,1,3
17,68,1,1,1,1,0,19,3,0,1,75,1,1,3
17,68,1,1,1,1,0,24,2,4,1,87,1,2,2
17,68,1,1,1,1,0,20,3,19,1,88,1,1,3
17,68,1,0,2,1,0,19,3,0,1,75,1,1,3
17,68,1,0,2,1,0,24,2,4,1,87,1,2,2
17,68,1,0,2,1,0,20,3,19,1,88,1,1,3
17,68,2,1,1,1,0,19,3,0,1,75,1,1,3
17,68,2,1,1,1,0,24,2,4,1,87,1,2,2
17,68,2,1,1,1,0,20,3,19,1,88,1,1,3
17,68,0,1,2,1,0,19,3,0,1,75,1,1,3
17,68,0,1,2,1,0,24,2,4,1,87,1,2,2
17,68,0,1,2,1,0,20,3,19,1,88,1,1,3
22,70,1,1,1,1,0,22,3,1,1,74,1,2,3
22,70,1,0,0,1,0,22,3,1,1,74,1,2,3
22,70,2,1,2,1,0,22,3,1,1,74,1,2,3
22,70,1,1,0,1,0,22,3,1,1,74,1,2,3
22,70,2,1,1,1,0,22,3,1,1,74,1,2,3
15,80,1,1,0,1,0,23,2,2,0,50,0,1,2
15,80,1,1,0,1,0,21,2,7,1,87,1,0,0
15,80,1,1,0,1,0,23,1,13,1,56,1,2,1
15,80,2,0,1,1,0,23,2,2,0,50,0,1,2
15,80,2,0,1,1,0,21,2,7,1,87,1,0,0
15,80,2,0,1,1,0,23,1,13,1,56,1,2,1
15,80,0,0,2,1,0,23,2,2,0,50,0,1,2
15,80,0,0,2,1,0,21,2,7,1,87,1,0,0
15,80,0,0,2,1,0,23,1,13,1,56,1,2,1
15,80,1,0,1,1,0,23,2,2,0,50,0,1,2
15,80,1,0,1,1,0,21,2,7,1,87,1,0,0
15,80,1,0,1,1,0,23,1,13,1,56,1,2,1
15,80,1,1,1,1,0,23,2,2,0,50,0,1,2
15,80,1,1,1,1,0,21,2,7,1,87,1,0,0
15,80,1,1,1,1,0,23,1,13,1,56,1,2,1
15,80,1,0,1,1,0,23,2,2,0,50,0,1,2
15,80,1,0,1,1,0,21,2,7,1,87,1,0,0
15,80,1,0,1,1,0,23,1,13,1,56,1,2,1
12,75,2,1,1,1,1,21,0,16,1,66,1,2,1
12,75,2,1,1,1,1,22,2,20,1,55,1,1,3
12,75,2,1,1,1,1,21,0,16,1,66,1,2,1
12,75,2,1,1,1,1,22,2,20,1,55,1,1,3
29,78,1,0,2,1,0,28,0,2,1,67,1,2,0
29,78,2,1,1,1,0,28,0,2,1,67,1,2,0
19,99,2,0,1,1,1,25,3,13,1,91,1,0,2
19,99,1,0,1,1,1,25,3,13,1,91,1,0,2
19,99,2,0,0,1,1,25,3,13,1,91,1,0,2
19,99,2,1,0,1,1,25,3,13,1,91,1,0,2
19,99,0,0,1,1,1,25,3,13,1,91,1,0,2
19,99,1,1,0,1,1,25,3,13,1,91,1,0,2
19,99,1,1,1,1,1,25,3,13,1,91,1,0,2
19,99,1,0,1,1,1,25,3,13,1,91,1,0,2
19,99,0,0,2,1,1,25,3,13,1,91,1,0,2
19,99,2,1,1,1,1,25,3,13,1,91,1,0,2
19,99,2,0,0,1,1,25,3,13,1,91,1,0,2
19,99,1,0,1,1,1,25,3,13,1,91,1,0,2
20,74,2,0,0,1,0,22,3,3,1,93,1,2,0
20,74,2,0,0,1,0,24,1,20,1,68,0,1,2
20,74,2,0,0,1,0,29,0,13,0,80,0,0,2
20,74,1,1,0,1,0,22,3,3,1,93,1,2,0
20,74,1,1,0,1,0,24,1,20,1,68,0,1,2
20,74,1,1,0,1,0,29,0,13,0,80,0,0,2
20,74,2,1,1,0,0,22,3,3,1,93,1,2,0
20,74,2,1,1,0,0,24,1,20,1,68,0,1,2
20,74,2,1,1,0,0,29,0,13,0,80,0,0,2
20,74,1,1,2,1,0,22,3,3,1,93,1,2,0
20,74,1,1,2,1,0,24,1,20,1,68,0,1,2
20,74,1,1,2,1,0,29,0,13,0,80,0,0,2
20,74,0,1,2,1,0,22,3,3,1,93,1,2,0
20,74,0,1,2,1,0,24,1,20,1,68,0,1,2
20,74,0,1,2,1,0,29,0,13,0,80,0,0,2
11,78,1,1,2,1,1,25,2,4,1,59,0,1,1
11,78,1,1,2,1,1,27,0,15,0,69,1,2,1
11,78,1,1,2,1,1,18,0,13,0,62,1,2,0
11,78,1,1,2,1,1,19,2,3,1,80,1,2,0
11,78,1,1,2,1,1,21,3,8,1,96,1,1,1
11,78,2,1,1,1,1,25,2,4,1,59,0,1,1
11,78,2,1,1,1,1,27,0,15,0,69,1,2,1
11,78,2,1,1,1,1,18,0,13,0,62,1,2,0
11,78,2,1,1,1,1,19,2,3,1,80,1,2,0
11,78,2,1,1,1,1,21,3,8,1,96,1,1,1
17,65,2,1,1,1,0,28,2,12,0,88,0,0,1
17,65,2,1,1,1,0,21,1,16,0,79,1,2,2
17,65,2,1,1,1,0,28,2,12,0,88,0,0,1
17,65,2,1,1,1,0,21,1,16,0,79,1,2,2
17,65,0,1,1,1,0,28,2,12,0,88,0,0,1
17,65,0,1,1,1,0,21,1,16,0,79,1,2,2
17,65,1,0,1,1,0,28,2,12,0,88,0,0,1
17,65,1,0,1,1,0,21,1,16,0,79,1,2,2
17,65,1,0,1,1,0,28,2,12,0,88,0,0,1
17,65,1,0,1,1,0,21,1,16,0,79,1,2,2
21,62,0,1,2,1,1,26,2,9,1,65,0,2,3
21,62,0,0,2,1,1,26,2,9,1,65,0,2,3
21,62,1,0,1,1,1,26,2,9,1,65,0,2,3
13,91,1,0,1,1,0,19,0,7,1,64,0,1,2
13,91,1,0,1,1,0,25,3,12,0,73,0,2,1
13,91,1,0,1,1,0,21,0,13,1,98,0,2,0
13,91,1,0,1,1,0,29,1,3,1,66,1,2,0
13,91,1,0,1,1,0,28,1,11,1,85,1,2,3
13,91,1,0,1,1,0,19,2,18,0,89,0,2,2
13,91,1,1,1,1,0,19,0,7,1,64,0,1,2
13,91,1,1,1,1,0,25,3,12,0,73,0,2,1
13,91,1,1,1,1,0,21,0,13,1,98,0,2,0
13,91,1,1,1,1,0,29,1,3,1,66,1,2,0
13,91,1,1,1,1,0,28,1,11,1,85,1,2,3
13,91,1,1,1,1,0,19,2,18,0,89,0,2,2
22,83,2,1,1,1,1,28,2,11,0,96,1,2,1
22,83,1,1,2,1,1,28,2,11,0,96,1,2,1
22,83,1,1,2,0,1,28,2,11,0,96,1,2,1
22,83,1,1,2,1,1,28,2,11,0,96,1,2,1
22,83,0,1,1,1,1,28,2,11,0,96,1,2,1
16,90,1,0,1,1,0,19,1,0,1,90,0,2,3
16,90,1,0,2,0,0,19,1,0,1,90,0,2,3
16,90,2,1,1,1,0,19,1,0,1,90,0,2,3
16,90,1,0,1,1,0,19,1,0,1,90,0,2,3
16,90,2,1,2,1,0,19,1,0,1,90,0,2,3
18,66,2,0,0,1,1,22,1,3,0,50,1,1,1
18,66,2,0,0,1,1,27,2,11,0,57,1,0,2
18,66,1,0,1,1,1,22,1,3,0,50,1,1,1
18,66,1,0,1,1,1,27,2,11,0,57,1,0,2
18,66,2,0,1,1,1,22,1,3,0,50,1,1,1
18,66,2,0,1,1,1,27,2,11,0,57,1,0,2
18,66,2,1,1,1,1,22,1,3,0,50,1,1,1
18,66,2,1,1,1,1,27,2,11,0,57,1,0,2
18,66,1,1,0,0,1,22,1,3,0,50,1,1,1
18,66,1,1,0,0,1,27,2,11,0,57,1,0,2
18,66,2,1,1,0,1,22,1,3,0,50,1,1,1
18,66,2,1,1,0,1,27,2,11,0,57,1,0,2
18,66,1,1,2,1,1,22,1,3,0,50,1,1,1
18,66,1,1,2,1,1,27,2,11,0,57,1,0,2
18,66,1,1,1,1,1,22,1,3,0,50,1,1,1
18,66,1,1,1,1,1,27,2,11,0,57,1,0,2
16,83,1,0,1,1,0,27,1,12,1,52,0,1,2
16,83,1,0,1,1,0,26,1,0,0,96,1,0,2
16,83,2,1,0,1,0,27,1,12,1,52,0,1,2
16,83,2,1,0,1,0,26,1,0,0,96,1,0,2
16,83,1,1,1,1,0,27,1,12,1,52,0,1,2
16,83,1,1,1,1,0,26,1,0,0,96,1,0,2
16,83,1,1,1,1,0,27,1,12,1,52,0,1,2
16,83,1,1,1,1,0,26,1,0,0,96,1,0,2
16,83,1,1,2,1,0,27,1,12,1,52,0,1,2
16,83,1,1,2,1,0,26,1,0,0,96,1,0,2
16,83,1,1,1,1,0,27,1,12,1,52,0,1,2
16,83,1,1,1,1,0,26,1,0,0,96,1,0,2
16,83,1,1,0,1,0,27,1,12,1,52,0,1,2
16,83,1,1,0,1,0,26,1,0,0,96,1,0,2
16,83,1,0,0,1,0,27,1,12,1,52,0,1,2
16,83,1,0,0,1,0,26,1,0,0,96,1,0,2
31,70,2,1,1,1,1,28,2,1,0,52,1,2,1
20,69,1,1,1,1,1,21,3,3,1,87,1,0,1
20,69,1,1,1,1,1,18,3,9,0,82,0,2,0
20,69,2,1,1,1,1,21,3,3,1,87,1,0,1
20,69,2,1,1,1,1,18,3,9,0,82,0,2,0
20,69,2,0,0,1,1,21,3,3,1,87,1,0,1
20,69,2,0,0,1,1,18,3,9,0,82,0,2,0
20,69,1,1,2,1,1,21,3,3,1,87,1,0,1
20,69,1,1,2,1,1,18,3,9,0,82,0,2,0
14,60,1,0,1,1,0,18,0,6,0,88,1,2,3
14,60,0,1,0,1,0,18,0,6,0,88,1,2,3
25,65,1,0,1,1,0,25,3,0,1,62,0,1,3
25,65,1,0,1,1,0,28,3,12,1,100,1,0,2
25,65,2,1,2,1,0,25,3,0,1,62,0,1,3
25,65,2,1,2,1,0,28,3,12,1,100,1,0,2
25,65,0,1,1,1,0,25,3,0,1,62,0,1,3
25,65,0,1,1,1,0,28,3,12,1,100,1,0,2
25,65,1,1,1,1,0,25,3,0,1,62,0,1,3
25,65,1,1,1,1,0,28,3,12,1,100,1,0,2
25,65,0,1,1,1,0,25,3,0,1,62,0,1,3
25,65,0,1,1,1,0,28,3,12,1,100,1,0,2
25,65,2,1,0,0,0,25,3,0,1,62,0,1,3
25,65,2,1,0,0,0,28,3,12,1,100,1,0,2
21,65,0,1,0,1,0,20,3,1,1,54,1,0,3
21,65,0,1,0,1,0,24,1,2,1,96,0,2,1
21,65,2,1,0,0,0,20,3,1,1,54,1,0,3
21,65,2,1,0,0,0,24,1,2,1,96,0,2,1
8,99,1,0,0,1,0,28,2,9,1,99,0,1,0
8,99,1,0,0,1,0,23,1,4,1,89,1,1,3
8,99,1,0,0,1,0,20,3,6,1,59,0,0,0
8,99,2,1,1,1,0,28,2,9,1,99,0,1,0
8,99,2,1,1,1,0,23,1,4,1,89,1,1,3
8,99,2,1,1,1,0,20,3,6,1,59,0,0,0
12,72,1,1,1,1,0,28,1,15,1,58,0,1,0
12,72,1,1,1,1,0,26,2,20,1,51,1,2,3
12,72,1,1,1,1,0,29,1,5,0,61,1,1,1
12,72,0,1,2,1,0,28,1,15,1,58,0,1,0
12,72,0,1,2,1,0,26,2,20,1,51,1,2,3
12,72,0,1,2,1,0,29,1,5,0,61,1,1,1
12,72,1,0,2,1,0,28,1,15,1,58,0,1,0
12,72,1,0,2,1,0,26,2,20,1,51,1,2,3
12,72,1,0,2,1,0,29,1,5,0,61,1,1,1
12,72,0,1,2,1,0,28,1,15,1,58,0,1,0
12,72,0,1,2,1,0,26,2,20,1,51,1,2,3
12,72,0,1,2,1,0,29,1,5,0,61,1,1,1
12,72,1,0,0,1,0,28,1,15,1,58,0,1,0
12,72,1,0,0,1,0,26,2,20,1,51,1,2,3
12,72,1,0,0,1,0,29,1,5,0,61,1,1,1
21,65,1,1,0,1,1,21,0,0,0,93,1,1,0
21,65,0,1,2,0,1,21,0,0,0,93,1,1,0
21,65,1,0,2,1,1,21,0,0,0,93,1,1,0
21,65,2,0,0,1,1,21,0,0,0,93,1,1,0
21,65,1,1,1,1,1,21,0,0,0,93,1,1,0
21,65,1,0,1,1,1,21,0,0,0,93,1,1,0
21,65,2,1,2,1,1,21,0,0,0,93,1,1,0
21,65,2,0,1,1,1,21,0,0,0,93,1,1,0
24,68,1,0,0,1,1,29,2,13,1,78,1,1,2
24,68,1,0,1,1,1,29,2,13,1,78,1,1,2
24,68,1,1,2,1,1,29,2,13,1,78,1,1,2
24,68,1,1,0,1,1,29,2,13,1,78,1,1,2
24,68,2,1,0,1,1,29,2,13,1,78,1,1,2
24,68,1,1,1,1,1,29,2,13,1,78,1,1,2
24,68,1,1,1,0,1,29,2,13,1,78,1,1,2
24,68,0,1,0,1,1,29,2,13,1,78,1,1,2
21,84,1,1,0,1,0,23,0,11,0,79,1,2,2
21,84,0,0,0,1,0,23,0,11,0,79,1,2,2
21,84,1,0,1,1,0,23,0,11,0,79,1,2,2
21,84,2,1,0,1,0,23,0,11,0,79,1,2,2
21,84,0,1,0,1,0,23,0,11,0,79,1,2,2
18,94,2,1,1,1,1,21,0,0,1,83,1,2,0
18,94,2,1,1,1,1,29,1,17,1,55,1,2,3
18,94,1,1,2,1,1,21,0,0,1,83,1,2,0
18,94,1,1,2,1,1,29,1,17,1,55,1,2,3
18,94,2,1,0,1,1,21,0,0,1,83,1,2,0
18,94,2,1,0,1,1,29,1,17,1,55,1,2,3
18,94,1,1,1,1,1,21,0,0,1,83,1,2,0
18,94,1,1,1,1,1,29,1,17,1,55,1,2,3
18,94,1,0,0,1,1,21,0,0,1,83,1,2,0
18,94,1,0,0,1,1,29,1,17,1,55,1,2,3
18,94,1,1,0,0,1,21,0,0,1,83,1,2,0
18,94,1,1,0,0,1,29,1,17,1,55,1,2,3
18,94,1,1,1,1,1,21,0,0,1,83,1,2,0
18,94,1,1,1,1,1,29,1,17,1,55,1,2,3
11,98,1,1,0,1,1,25,0,11,0,77,1,0,1
11,98,1,1,0,1,1,25,2,7,1,94,1,2,3
11,98,1,1,0,1,1,26,0,12,0,58,0,2,0
11,98,2,1,2,1,1,25,0,11,0,77,1,0,1
11,98,2,1,2,1,1,25,2,7,1,94,1,2,3
11,98,2,1,2,1,1,26,0,12,0,58,0,2,0
16,70,1,1,1,1,1,28,2,7,1,94,1,0,1
16,70,1,1,1,1,1,22,0,20,0,89,1,2,1
16,70,1,1,1,1,1,19,2,20,1,53,1,2,0
16,70,2,1,2,1,1,28,2,7,1,94,1,0,1
16,70,2,1,2,1,1,22,0,20,0,89,1,2,1
16,70,2,1,2,1,1,19,2,20,1,53,1,2,0
16,70,2,1,2,1,1,28,2,7,1,94,1,0,1
16,70,2,1,2,1,1,22,0,20,0,89,1,2,1
16,70,2,1,2,1,1,19,2,20,1,53,1,2,0
17,78,1,1,1,1,0,24,1,14,1,84,0,0,2
17,78,1,1,1,1,0,26,3,9,0,90,1,2,0
17,78,1,1,1,1,0,29,1,20,1,58,0,2,0
17,78,2,0,1,1,0,24,1,14,1,84,0,0,2
17,78,2,0,1,1,0,26,3,9,0,90,1,2,0
17,78,2,0,1,1,0,29,1,20,1,58,0,2,0
17,78,2,0,1,1,0,24,1,14,1,84,0,0,2
17,78,2,0,1,1,0,26,3,9,0,90,1,2,0
17,78,2,0,1,1,0,29,1,20,1,58,0,2,0
17,78,1,0,1,0,0,24,1,14,1,84,0,0,2
17,78,1,0,1,0,0,26,3,9,0,90,1,2,0
17,78,1,0,1,0,0,29,1,20,1,58,0,2,0
17,78,1,1,0,1,0,24,1,14,1,84,0,0,2
17,78,1,1,0,1,0,26,3,9,0,90,1,2,0
17,78,1,1,0,1,0,29,1,20,1,58,0,2,0
26,61,0,1,1,1,0,28,2,20,0,69,1,2,0
26,61,1,1,2,1,0,28,2,20,0,69,1,2,0
26,61,2,1,1,0,0,28,2,20,0,69,1,2,0
22,86,1,1,0,1,1,23,0,9,0,60,1,2,3
22,86,1,1,0,1,1,24,3,6,1,73,1,2,2
22,86,1,1,0,1,1,19,1,8,0,100,1,0,0
22,86,1,1,0,1,1,24,3,7,1,86,1,2,0
22,86,0,0,1,1,1,23,0,9,0,60,1,2,3
22,86,0,0,1,1,1,24,3,6,1,73,1,2,2
22,86,0,0,1,1,1,19,1,8,0,100,1,0,0
22,86,0,0,1,1,1,24,3,7,1,86,1,2,0
22,86,1,1,2,1,1,23,0,9,0,60,1,2,3
22,86,1,1,2,1,1,24,3,6,1,73,1,2,2
22,86,1,1,2,1,1,19,1,8,0,100,1,0,0
22,86,1,1,2,1,1,24,3,7,1,86,1,2,0
22,86,1,1,1,1,1,23,0,9,0,60,1,2,3
22,86,1,1,1,1,1,24,3,6,1,73,1,2,2
22,86,1,1,1,1,1,19,1,8,0,100,1,0,0
22,86,1,1,1,1,1,24,3,7,1,86,1,2,0
22,86,1,0,0,1,1,23,0,9,0,60,1,2,3
22,86,1,0,0,1,1,24,3,6,1,73,1,2,2
22,86,1,0,0,1,1,19,1,8,0,100,1,0,0
22,86,1,0,0,1,1,24,3,7,1,86,1,2,0
22,86,1,1,1,1,1,23,0,9,0,60,1,2,3
22,86,1,1,1,1,1,24,3,6,1,73,1,2,2
22,86,1,1,1,1,1,19,1,8,0,100,1,0,0
22,86,1,1,1,1,1,24,3,7,1,86,1,2,0
22,86,1,0,2,1,1,23,0,9,0,60,1,2,3
22,86,1,0,2,1,1,24,3,6,1,73,1,2,2
22,86,1,0,2,1,1,19,1,8,0,100,1,0,0
22,86,1,0,2,1,1,24,3,7,1,86,1,2,0
22,86,1,1,1,1,1,23,0,9,0,60,1,2,3
22,86,1,1,1,1,1,24,3,6,1,73,1,2,2
22,86,1,1,1,1,1,19,1,8,0,100,1,0,0
22,86,1,1,1,1,1,24,3,7,1,86,1,2,0
9,77,1,0,1,1,1,24,3,4,1,63,1,0,1
9,77,1,0,1,1,1,18,2,3,1,61,1,0,2
9,77,1,0,1,1,1,28,1,16,0,51,1,2,2
9,77,1,0,0,1,1,24,3,4,1,63,1,0,1
9,77,1,0,0,1,1,18,2,3,1,61,1,0,2
9,77,1,0,0,1,1,28,1,16,0,51,1,2,2
9,77,2,1,1,1,1,24,3,4,1,63,1,0,1
9,77,2,1,1,1,1,18,2,3,1,61,1,0,2
9,77,2,1,1,1,1,28,1,16,0,51,1,2,2
9,77,0,0,1,1,1,24,3,4,1,63,1,0,1
9,77,0,0,1,1,1,18,2,3,1,61,1,0,2
9,77,0,0,1,1,1,28,1,16,0,51,1,2,2
22,71,1,1,0,1,1,20,0,18,0,71,1,2,3
22,71,1,0,2,1,1,20,0,18,0,71,1,2,3
22,71,1,0,0,1,1,20,0,18,0,71,1,2,3
22,71,1,1,1,1,1,20,0,18,0,71,1,2,3
22,71,2,1,1,1,1,20,0,18,0,71,1,2,3
22,71,0,1,1,1,1,20,0,18,0,71,1,2,3
22,71,1,1,0,1,1,20,0,18,0,71,1,2,3
18,68,1,0,1,1,1,26,0,20,0,93,0,2,0
18,68,1,0,1,1,1,18,3,20,0,55,0,0,0
18,68,2,0,0,1,1,26,0,20,0,93,0,2,0
18,68,2,0,0,1,1,18,3,20,0,55,0,0,0
18,68,2,1,0,1,1,26,0,20,0,93,0,2,0
18,68,2,1,0,1,1,18,3,20,0,55,0,0,0
18,68,2,1,2,1,1,26,0,20,0,93,0,2,0
18,68,2,1,2,1,1,18,3,20,0,55,0,0,0
18,68,1,1,2,1,1,26,0,20,0,93,0,2,0
18,68,1,1,2,1,1,18,3,20,0,55,0,0,0
18,68,2,1,2,1,1,26,0,20,0,93,0,2,0
18,68,2,1,2,1,1,18,3,20,0,55,0,0,0
18,68,0,1,1,1,1,26,0,20,0,93,0,2,0
18,68,0,1,1,1,1,18,3,20,0,55,0,0,0
18,68,2,0,1,1,1,26,0,20,0,93,0,2,0
18,68,2,0,1,1,1,18,3,20,0,55,0,0,0
18,68,2,1,2,1,1,26,0,20,0,93,0,2,0
